"date","year","month","day","9414001"
2011-03-01,2011,3,1,119.705
2011-04-01,2011,4,1,238.428
2011-05-01,2011,5,1,213.042
2011-06-01,2011,6,1,291.265
2011-07-01,2011,7,1,175.312
2011-08-01,2011,8,1,329.307
2011-09-01,2011,9,1,175.333
2011-10-01,2011,10,1,101.526
2011-11-01,2011,11,1,164.057
2011-12-01,2011,12,1,66.81
2012-01-01,2012,1,1,58.328
2012-02-01,2012,2,1,105.908
2012-03-01,2012,3,1,85.767
2012-04-01,2012,4,1,65.335
2012-05-01,2012,5,1,352.469
2012-06-01,2012,6,1,358.616
2012-07-01,2012,7,1,127.76
2012-08-01,2012,8,1,176.805
2012-09-01,2012,9,1,125.867
2012-10-01,2012,10,1,120.003
2012-11-01,2012,11,1,84.71
2012-12-01,2012,12,1,258.105
2013-01-01,2013,1,1,28.654
2013-02-01,2013,2,1,43.99
2013-03-01,2013,3,1,72.048
2013-04-01,2013,4,1,135.519
2013-05-01,2013,5,1,207.535
2013-06-01,2013,6,1,120.316
2013-07-01,2013,7,1,154.758
2013-08-01,2013,8,1,320.557
2013-09-01,2013,9,1,174.443
2013-10-01,2013,10,1,94.988
2013-11-01,2013,11,1,126.358
2013-12-01,2013,12,1,49.15
2014-01-01,2014,1,1,70.652
2014-02-01,2014,2,1,32.865
2014-03-01,2014,3,1,174.354
2014-04-01,2014,4,1,95.881
2014-05-01,2014,5,1,300.453
2014-06-01,2014,6,1,296.565
2014-07-01,2014,7,1,333.698
2014-08-01,2014,8,1,266.293
2014-09-01,2014,9,1,263.021
2014-10-01,2014,10,1,112.317
2014-11-01,2014,11,1,79.393
2014-12-01,2014,12,1,53.327
2015-01-01,2015,1,1,15.381
2015-02-01,2015,2,1,20.538
2015-03-01,2015,3,1,38.08
2015-04-01,2015,4,1,128.129
2015-05-01,2015,5,1,288.235
2015-06-01,2015,6,1,317.059
2015-07-01,2015,7,1,473.625
2015-08-01,2015,8,1,418.367
2015-09-01,2015,9,1,157.905
2015-10-01,2015,10,1,116.635
2015-11-01,2015,11,1,98.719
2015-12-01,2015,12,1,99.185
2016-01-01,2016,1,1,24.529
2016-02-01,2016,2,1,24.248
2016-03-01,2016,3,1,43.593
2016-04-01,2016,4,1,131.203
2016-05-01,2016,5,1,143.963
2016-06-01,2016,6,1,49.39
2016-07-01,2016,7,1,350.435
2016-08-01,2016,8,1,271.951
2016-09-01,2016,9,1,104.546
2016-10-01,2016,10,1,171.595
2016-11-01,2016,11,1,130.385
2016-12-01,2016,12,1,137.711
2017-01-01,2017,1,1,33.644
2017-02-01,2017,2,1,64.289
2017-03-01,2017,3,1,129.096
2017-04-01,2017,4,1,112.965
2017-05-01,2017,5,1,133.016
2017-06-01,2017,6,1,324.415
2017-07-01,2017,7,1,172.396
2017-08-01,2017,8,1,393.125
2017-09-01,2017,9,1,152.974
2017-10-01,2017,10,1,191.878
2017-11-01,2017,11,1,88.562
2017-12-01,2017,12,1,120.167
2018-01-01,2018,1,1,36.464
2018-02-01,2018,2,1,42.92
2018-03-01,2018,3,1,164.36
2018-04-01,2018,4,1,192.19
2018-05-01,2018,5,1,169.173
2018-06-01,2018,6,1,255.47
